brand_name,indication,disease,disease_category,year,women,white,black,asian,other,hispanic,us_only,age_65,age_75,age_80
Repatha‡‡,Treatment of certain patients with high cholesterol,Hypercholesterolemia,Cardiovascular,2015,49.0,90.0,0.0,4.0,6.0,,,0.0,0.0,0.0
Rexulti,Treatment of schizophrenia,Schizophrenia,Neurological,2015,37.0,63.0,24.0,7.0,6.0,,,1.0,0.0,0.0
Rexulti,Treatment of major depressive disorder,Major Depressive Disorder,Other,2015,69.0,85.0,12.0,1.0,2.0,,,1.0,0.0,0.0
Savaysa,Reduction of risk of venous thromboembolism (VTE) in patients with previous VTE,Venous Thromboembolism,Cardiovascular,2015,43.0,70.0,4.0,21.0,5.0,,,33.0,13.0,6.0
Savaysa,Prevention of stroke in patients with atrial fibrillation,Stroke,Cardiovascular,2015,38.0,81.0,1.0,14.0,4.0,,,74.0,40.0,17.0
Strensiq(^),"Treatment of perinatal, infantile and juvenile-onset hypophosphatasia (HPP)","Perinatal, Infantile And Juvenile-Onset Hypophosphatasia",Metabolic / Genetic,2015,52.0,81.0,0.0,9.0,10.0,,,0.0,0.0,0.0
Strensiq(^^),"Treatment of perinatal, infantile and juvenile-onset hypophosphatasia (HPP)","Perinatal, Infantile And Juvenile-Onset Hypophosphatasia",Metabolic / Genetic,2015,50.0,95.0,0.0,0.0,5.0,,,0.0,0.0,0.0
Tagrisso,Treatment of patients with advanced non-small cell lung cancer (NSCLC),Non-Small Cell Lung Cancer,Cancer,2015,68.0,36.0,1.0,60.0,3.0,,,45.0,13.0,4.0
Tresiba*,To improve glucose control in adults with diabetes mellitus,Diabetes Mellitus,Metabolic / Genetic,2015,44.0,80.0,1.0,16.0,2.0,,,7.0,1.0,1.0
Tresiba**,To improve glucose control in adults with diabetes mellitus,Diabetes Mellitus,Metabolic / Genetic,2015,44.0,70.0,7.0,21.0,2.0,,,24.0,3.0,1.0
Unituxin,Treatment of children with high-risk neuroblastoma,Neuroblastoma,Cancer,2015,40.0,82.0,7.0,3.0,8.0,,,,,
Uptravi,For the treatment of adults with pulmonary artery hypertension,Pulmonary Arterial Hypertension,Cardiovascular,2015,80.0,75.0,2.0,21.0,2.0,,,18.0,1.0,1.0
Varubi,To prevent delayed phase chemotherapy-induced nausea and vomiting,Chemotherapy-Induced Nausea And Vomiting,Other,2015,60.0,75.0,2.0,14.0,9.0,,,26.0,5.0,1.0
Veltassa,Treatment of hyperkalemia,Hyperkalemia,Cardiovascular,2015,39.0,99.0,1.0,1.0,1.0,,,61.0,21.0,4.0
Viberzi,Treatment of irritable bowel syndrome with diarrhea,Irritable Bowel Syndrome With Diarrhea,Other,2015,66.0,86.0,12.0,1.0,2.0,,,10.0,6.0,1.0
Vraylar,Treatment of schizophrenia,Schizophrenia,Neurological,2015,28.0,43.0,34.0,17.0,6.0,,,1.0,0.0,0.0
Vraylar,Treatment of bipolar disorder,Bipolar Disorder,Neurological,2015,41.0,49.0,25.0,24.0,2.0,,,1.0,0.0,0.0
Xuriden,Treatment of patients with hereditary orotic aciduria,Hereditary Orotic Aciduria,Metabolic / Genetic,2015,25.0,100.0,0.0,0.0,0.0,,,,,
Yondelis,Treatment of certain types of advances tissue sarcoma,Soft Tissue Sarcoma,Cancer,2015,70.0,76.0,12.0,4.0,8.0,,,22.0,3.0,1.0
Zurampic,For lowering uric acid levels in the blood of adult patients with gout,Gout,Metabolic / Genetic,2015,4.0,78.0,12.0,6.0,5.0,,,13.0,3.0,1.0
Adlyxin§,treatment of type 2 diabetes mellitus,Type 2 Diabetes Mellitus,Metabolic / Genetic,2016,52.0,64.0,3.0,32.0,2.0,,,19.0,,
Adlyxin§§,treatment of type 2 diabetes mellitus,Type 2 Diabetes Mellitus,Metabolic / Genetic,2016,31.0,75.0,4.0,13.0,8.0,,,34.0,,
Anthim,For the treatment of inhalational anthrax,Inhalational Anthrax,Infectious Disease,2016,46.0,69.0,28.0,1.0,2.0,,,9.0,,
Axumin,Detection of prostate cancer recurrence,Prostate Cancer Recurrence,Cancer,2016,0.0,31.0,4.0,1.0,64.0,,,66.0,,
Briviact,Treatment of partial-onset seizures,Partial-Onset Seizures,Neurological,2016,49.0,74.0,3.0,12.0,11.0,,,2.0,,
Cinquair,For the treatment of a specific type of severe asthma (called eosinophilic phenotype asthma),Eosinophilic Asthma,Immune / Inflammatory,2016,62.0,73.0,12.0,8.0,8.0,,,6.0,,
Defitelio,Treatment of hepatic veno-occlusive disease (VOD),Hepatic Veno-Occlusive Disease,Other,2016,45.0,71.0,6.0,4.0,19.0,,,0.0,,
Epclusa,"Treatment of chronic Hepatitis C virus genotypes 1, 2, 3, 4, 5 or 6 infection.","Chronic Hepatitis C Virus Genotypes 1, 2, 3, 4, 5 Or 6 Infection",Infectious Disease,2016,38.0,85.0,6.0,7.0,2.0,,,11.0,,
Eucrisa,To treat mild to moderate eczema (atopic dermatitis) in patients two years of age and older,Mild To Moderate Eczema,Immune / Inflammatory,2016,56.0,61.0,28.0,5.0,6.0,,,0.0,,
Exondys 51#,Treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 51 skipping,Duchenne Muscular Dystrophy,Neurological,2016,0.0,92.0,0.0,8.0,0.0,,,0.0,,
